id_cliente,documento,fecha_registro,segmento,ciudad,score_crediticio
210,31496823,2023-02-27,B,BOGOTÁ,673
211,59907857,2022-09-06,PREMIUM,CALI,523
212,17468810S,2025-12-19,VIP,BARRANQUILLA,581
213,87264088,2025-11-07,C,BOGOTÁ,760
214,46805730,2025-01-31,B,BARRANQUILLA,810
215,68720660,2024-11-01,B,CALI,817
216,11722320,2023-04-10,B,CALI,736
217,91550308,2025-11-29,C,BARRANQUILLA,757
218,66024141,2026-02-19,VIP,BARRANQUILLA,756
219,81086130,2024-11-28,PREMIUM,BARRANQUILLA,745
220,76360176,2026-01-17,PREMIUM,BOGOTÁ,787
221,71902171,2023-02-20,A,MEDELLÍN,394
222,75812633,2024-04-17,VIP,BOGOTA,549
223,42043445,2024-01-11,VIP,CALI,417
224,96601594,2025-05-28,B,BARRANQUILLA,605
225,26689088,2025-06-29,C,MEDELLÍN,353
226,17102173,2024-06-06,PREMIUM ,BARRANQUILLA,700
227,58515838,2023-08-16,PREMIUM,CALI,602
228,32064334,2023-10-21,B,CALI,528
229,71681549,2024-12-12,VIP,BARRANQUILLA,374
230,58840101,2025-11-14,PREMIUM,BOGOTÁ,605
231,60011985,2023-10-15,PREMIUM ,BARRANQUILLA,634
232,42843745,2025-06-16,A,BOGOTÁ,607
233,70084389,2023-06-12,A,MEDELLÍN,780
234,28130254,2024-01-23,PREMIUM,BOGOTÁ,841
235,89945266,2025-10-10,C,BOGOTA,380
236,75377052,2025-08-20,VIP,BARRANQUILLA,437
237,91251088,2023-06-12,VIP,MEDELLÍN,807
238,72754884,2025-12-29,A,BOGOTA,845
239,25734209,2025-10-17,PREMIUM ,BOGOTÁ,504
240,46081386,2025-11-01,PREMIUM ,MEDELLÍN,342
241,26663288,2023-10-26,VIP,BOGOTÁ,482
242,69387253,2023-09-04,PREMIUM,MEDELLÍN,819
243,48660995,2022-10-20,B,BOGOTA,580
244,32383810,2024-04-19,PREMIUM ,BOGOTÁ,392
245,79019569,2024-05-27,PREMIUM,CALI,360
246,31900338,2023-04-28,PREMIUM ,BOGOTÁ,702
247,15723601,2022-03-24,VIP,BOGOTA,833
248,85012933,2024-05-16,B,BARRANQUILLA,812
249,62576779,2023-03-18,VIP,BOGOTA,645
250,98132129,2023-02-19,PREMIUM ,MEDELLÍN,377
251,87998328,2023-01-02,PREMIUM,MEDELLÍN,346
252,11222869,2023-03-08,C,BOGOTÁ,538
253,13125354,2025-03-20,PREMIUM,BARRANQUILLA,347
254,25152994,2024-03-03,VIP,MEDELLÍN,552
255,32937902,2024-02-25,VIP,BOGOTA,355
256,84588685,2026-01-23,PREMIUM ,BARRANQUILLA,773
257,10067661,2022-04-12,A,BOGOTÁ,515
258,33335437,2023-09-21,B,BOGOTÁ,611
259,96787694,2022-08-02,C,BOGOTA,662
260,52573305,2022-10-23,PREMIUM ,CALI,314
261,92649048,2026-01-23,PREMIUM,CALI,784
262,96205129,2022-08-03,PREMIUM,BOGOTA,338
263,74413145E,2023-12-01,VIP,CALI,425
264,72132760,2022-10-03,PREMIUM,BOGOTÁ,444
265,32419480,2025-12-15,A,BARRANQUILLA,693
266,56523537,2025-07-07,A,BOGOTÁ,410
267,35153646,2026-01-17,C,CALI,769
268,18411883,2024-06-17,PREMIUM,BOGOTA,724
269,93031557,2022-06-17,B,BOGOTÁ,581
270,45555041,2025-04-11,VIP,MEDELLÍN,742
271,86301164,2022-07-18,B,BARRANQUILLA,676
272,42359860,2024-06-06,VIP,BOGOTÁ,576
273,29032579,2023-10-31,C,BOGOTÁ,649
274,26514877,2023-11-20,C,BOGOTA,649
275,86165878,2024-08-26,VIP,CALI,542
276,27810471,2024-08-21,PREMIUM,BARRANQUILLA,528
277,88550238,2022-06-15,C,BOGOTA,305
278,67975251,2026-02-16,A,BOGOTÁ,374
279,32763342,2024-10-04,PREMIUM ,BOGOTÁ,993
280,27807333,2025-08-10,VIP,BOGOTÁ,740
281,26263882,2023-04-07,C,MEDELLÍN,691
282,93721515,2022-03-19,VIP,MEDELLÍN,625
283,58014453,2024-09-06,VIP,BOGOTÁ,524
284,94740096,2024-05-07,A,BOGOTÁ,389
285,41699263,2025-10-04,PREMIUM,BOGOTÁ,849
286,63215075,2023-09-02,A,CALI,558
287,82017911,2025-06-04,B,MEDELLÍN,309
288,13757974,2023-09-06,C,BOGOTA,471
289,52321932,2025-04-05,B,CALI,467
290,69376958,2023-12-28,PREMIUM ,CALI,628
291,18112074,2022-03-10,A,BARRANQUILLA,849
292,31982813,2025-04-08,B,BOGOTÁ,394
293,19742257,2025-02-09,PREMIUM ,BOGOTA,633
294,13609736,2024-09-25,A,CALI,846
295,22225855,2023-10-01,VIP,BOGOTÁ,648
296,12155748,2023-12-15,PREMIUM ,BOGOTÁ,569
297,64256930,2026-02-15,B,BARRANQUILLA,464
298,82764242J,2025-12-04,VIP,MEDELLÍN,678
299,16941245,2024-06-29,PREMIUM,BOGOTÁ,431
300,19451244,2025-11-23,B,BOGOTÁ,341
301,27606951,2024-06-14,PREMIUM,BOGOTÁ,594
302,18351245,2023-04-10,B,BARRANQUILLA,721
303,15345854,2023-06-03,VIP,BOGOTÁ,442
304,67821848,2022-09-20,VIP,BOGOTÁ,444
305,80790126,2023-11-22,A,BARRANQUILLA,802
306,10953959,2023-03-25,C,BOGOTÁ,403
307,20016389,2022-11-05,PREMIUM,MEDELLÍN,690
308,36704425,2023-04-18,VIP,CALI,747
309,25586926,2024-10-30,C,BOGOTÁ,588
310,91143014,2025-09-16,A,BARRANQUILLA,719
311,20321336,2023-05-06,VIP,BOGOTA,396
312,87859104,2025-08-08,C,MEDELLÍN,553
313,41738453,2024-09-21,B,BOGOTÁ,821
314,17583354,2023-12-07,VIP,MEDELLÍN,417
315,32468492,2023-11-28,PREMIUM ,MEDELLÍN,458
316,21606243,2023-07-18,C,MEDELLÍN,515
317,19828366,2022-08-15,PREMIUM ,MEDELLÍN,456
318,85623580,2025-04-02,B,BOGOTÁ,346
319,25043403,2022-03-18,VIP,CALI,429
320,79353566Q,2023-12-19,VIP,BARRANQUILLA,591
321,17726890,2025-12-13,PREMIUM,BARRANQUILLA,582
322,71413011,2022-08-22,A,BARRANQUILLA,310
323,19451337,2022-12-20,A,BOGOTÁ,849
324,84504214,2025-04-24,VIP,CALI,645
325,34062169,2023-07-08,A,BARRANQUILLA,440
326,40256337,2023-05-23,A,BARRANQUILLA,759
327,21309411,2022-12-21,A,CALI,623
328,79790583,2023-01-17,C,BOGOTA,426
329,69220571,2023-05-13,C,BARRANQUILLA,677
330,73655986,2022-01-26,PREMIUM,BOGOTA,328
331,92972373,2023-11-29,VIP,BOGOTÁ,706
332,83684580,2022-05-22,PREMIUM ,BOGOTA,704
333,72671672,2024-08-02,PREMIUM,MEDELLÍN,300
334,47132658,2023-06-27,PREMIUM,BARRANQUILLA,730
335,87652169,2025-04-13,C,BOGOTÁ,735
336,29894388,2024-09-01,VIP,BARRANQUILLA,543
337,94903513,2025-01-30,A,BARRANQUILLA,374
338,23757649,2024-12-29,PREMIUM ,MEDELLÍN,774
339,62418906,2024-05-21,VIP,BOGOTA,828
340,35146282,2022-11-02,C,BOGOTÁ,478
341,96487703,2022-11-04,VIP,BOGOTÁ,324
342,64440645,2022-11-23,C,BOGOTÁ,800
343,90074928,2025-12-19,VIP,BARRANQUILLA,584
344,41199893,2022-01-19,PREMIUM ,BOGOTA,455
345,75170480,2022-05-07,VIP,MEDELLÍN,383
346,45966581,2024-11-01,PREMIUM ,BOGOTA,641
347,26405566,2024-08-08,A,BOGOTA,659
348,88795078,2023-06-06,C,BOGOTÁ,440
349,98213938,2026-01-19,C,CALI,617
350,23691164,2024-12-18,B,BOGOTA,604
351,21707868,2022-12-10,VIP,BOGOTÁ,585
352,20055079,2026-02-02,VIP,MEDELLÍN,318
353,64952704,2022-11-09,B,CALI,670
354,23769205,2025-10-29,VIP,BOGOTA,412
355,75954738,2023-08-10,B,BOGOTA,563
356,65849014F,2025-09-11,VIP,BARRANQUILLA,757
357,20669435,2025-12-27,C,MEDELLÍN,386
358,21484508,2023-11-10,PREMIUM,BOGOTÁ,307
359,97929144,2025-03-29,PREMIUM,BOGOTA,742
360,54489781,2022-09-16,PREMIUM,BOGOTA,538
361,63517362,2022-03-11,B,MEDELLÍN,563
362,95808215,2022-07-19,A,BOGOTÁ,377
363,61309687,2024-11-25,B,BARRANQUILLA,790
364,39677043,2025-08-22,VIP,BOGOTÁ,464
365,85094484,2025-03-27,PREMIUM ,BOGOTÁ,306
366,83678496B,2023-02-07,A,CALI,450
367,16202258,2022-07-22,VIP,BOGOTÁ,847
368,75174203,2024-09-24,A,CALI,381
369,28786176,2024-02-05,PREMIUM,BOGOTÁ,822
370,64148094,2024-03-15,PREMIUM ,BOGOTÁ,685
371,22790902,2025-06-04,VIP,BOGOTÁ,695
372,16193956,2023-08-30,C,MEDELLÍN,555
373,84380340,2023-10-20,VIP,BOGOTÁ,799
374,74910615,2024-05-29,PREMIUM ,CALI,457
375,81370810,2024-02-15,VIP,MEDELLÍN,427
376,91447632,2022-10-06,B,MEDELLÍN,414
377,90218637,2024-08-17,VIP,BOGOTÁ,820
378,58730049,2022-07-26,PREMIUM,BARRANQUILLA,536
379,43877350,2022-07-29,PREMIUM,BOGOTÁ,500
380,76374125,2024-04-25,VIP,BOGOTA,303
381,76268268,2023-11-05,C,MEDELLÍN,374
382,44569361,2026-01-09,VIP,CALI,427
383,70200291,2023-08-01,C,BOGOTA,340
384,30080673,2022-12-01,A,BOGOTÁ,316
385,84052985,2026-01-24,VIP,BOGOTÁ,641
386,80860062,2024-06-20,PREMIUM,BOGOTA,467
387,39063435,2023-08-29,A,BARRANQUILLA,754
388,45055276,2023-08-13,B,CALI,700
389,44954715,2023-05-07,A,BARRANQUILLA,429
390,92822506,2022-04-27,C,BOGOTÁ,591
391,34694812,2022-07-11,A,MEDELLÍN,448
392,61207679,2025-08-17,VIP,BOGOTA,412
393,78168486,2022-06-27,C,BARRANQUILLA,526
394,41354977,2024-06-07,VIP,BOGOTÁ,354
395,81240343,2025-12-13,A,CALI,705
396,74445751,2024-01-31,C,CALI,588
397,62673683,2022-09-01,VIP,MEDELLÍN,766
398,96654442,2025-02-20,B,CALI,806
399,99817241,2025-12-09,VIP,BARRANQUILLA,749
400,64278856,2023-04-16,A,CALI,595
401,38104320,2025-12-21,C,MEDELLÍN,516
402,13875754,2026-01-26,VIP,BOGOTÁ,341
403,67696034,2022-09-16,VIP,BARRANQUILLA,430
404,20047595,2023-10-08,C,MEDELLÍN,1001
405,50131083,2023-03-20,PREMIUM ,BARRANQUILLA,574
406,57517690,2025-03-27,B,BOGOTÁ,316
407,23143608,2026-02-08,VIP,BOGOTA,796
408,55745469,2025-03-18,A,BOGOTÁ,515
409,67874183,2025-02-11,B,BOGOTA,380
410,62534223,2024-11-11,PREMIUM ,BOGOTÁ,499
411,98798296,2024-10-19,B,BOGOTÁ,567
412,38172140,2026-01-04,VIP,BOGOTÁ,837
413,65471391,2024-03-11,C,BOGOTÁ,315
414,33387092,2025-06-15,B,CALI,385
415,11524102,2024-06-01,PREMIUM ,MEDELLÍN,634
416,62715014,2023-09-21,PREMIUM,BARRANQUILLA,436
417,87937327,2023-11-16,VIP,BOGOTA,797
418,39061846,2024-07-06,B,BOGOTA,776
419,88566365,2023-07-31,VIP,BARRANQUILLA,671
420,85779042,2022-02-14,A,BOGOTÁ,701
421,80503913,2022-11-25,C,BOGOTÁ,572
422,99967767,2023-01-25,VIP,MEDELLÍN,487
423,52942594,2023-07-30,B,BARRANQUILLA,470
424,25170521,2023-06-13,PREMIUM,BOGOTÁ,482
425,22267883,2024-10-11,PREMIUM,BOGOTÁ,338
426,40715395,2022-11-23,A,BOGOTÁ,1109
427,57149071,2022-03-03,B,BOGOTÁ,792
428,17152747,2025-04-15,VIP,MEDELLÍN,749
429,11020154,2022-08-02,VIP,BOGOTÁ,440
430,16733215,2023-07-08,B,MEDELLÍN,928
431,37259197,2024-02-03,VIP,BARRANQUILLA,544
432,20760888,2022-02-17,C,BOGOTÁ,571
433,75856750A,2025-05-30,VIP,BARRANQUILLA,676
434,59464216,2025-03-17,PREMIUM,BOGOTA,658
435,90884100,2022-02-28,VIP,MEDELLÍN,302
436,56695565,2025-04-02,A,BOGOTA,675
437,73813565,2024-12-15,B,BOGOTÁ,592
438,86767936,2023-11-26,C,BOGOTÁ,698
439,81425912,2023-07-02,PREMIUM ,BOGOTA,643
440,91242298,2023-07-27,PREMIUM,BOGOTÁ,360
441,58665285,2022-06-18,C,BOGOTÁ,739
442,41061293Y,2026-02-09,B,BOGOTÁ,643
443,94445004,2022-12-01,VIP,BOGOTÁ,525
444,20679043,2023-09-19,C,BOGOTA,609
445,87921522,2022-05-02,PREMIUM ,BOGOTÁ,792
446,61195209,2025-07-09,VIP,MEDELLÍN,406
447,49043896,2023-07-29,PREMIUM ,BARRANQUILLA,517
448,94912633M,2025-12-28,B,BOGOTÁ,558
449,11514542,2023-01-24,PREMIUM,BOGOTA,820
450,25135763,2024-12-28,VIP,MEDELLÍN,789
451,45383985,2022-12-09,A,BOGOTÁ,361
452,24315679,2023-09-11,C,BARRANQUILLA,419
453,34586222,2025-03-28,PREMIUM,CALI,388
454,95561923,2022-08-09,PREMIUM,CALI,656
455,20569320,2024-05-26,PREMIUM ,BOGOTÁ,622
456,29391451,2022-10-20,VIP,MEDELLÍN,840
457,87960088,2025-09-03,A,CALI,631
458,81087566,2022-08-15,VIP,BOGOTÁ,339
459,80706570,2023-06-12,C,BARRANQUILLA,525
460,21377787W,2025-03-29,PREMIUM,CALI,337
461,45280122,2023-08-21,A,BOGOTÁ,475
462,89655365,2022-06-21,VIP,BOGOTÁ,336
463,77511983,2023-03-24,B,BOGOTA,413
464,43957164,2025-04-08,B,BOGOTÁ,523
465,11132658,2023-03-24,C,BARRANQUILLA,622
466,63811239,2022-08-14,B,BOGOTÁ,588
467,79475474,2022-11-16,PREMIUM,BOGOTÁ,635
468,39342048,2024-08-12,PREMIUM,CALI,662
469,52827096,2025-03-01,A,BOGOTÁ,469
470,59352346,2024-03-22,PREMIUM,BOGOTA,721
471,20115078,2024-08-12,VIP,BARRANQUILLA,432
472,27486878,2024-12-21,VIP,BARRANQUILLA,834
473,26620937,2022-02-20,A,BARRANQUILLA,662
474,20528294,2025-03-01,A,BOGOTÁ,381
475,94328141,2025-05-01,VIP,CALI,823
476,34192961,2023-03-18,C,CALI,523
477,69844250,2022-09-12,VIP,BOGOTÁ,412
478,39263888,2022-09-22,B,BOGOTÁ,659
479,17281505,2023-10-18,B,BARRANQUILLA,747
480,36540396J,2024-11-10,PREMIUM,BOGOTA,625
481,57364509,2024-07-14,A,CALI,754
482,83663899,2022-09-23,PREMIUM,BOGOTA,634
483,25886372,2022-10-19,VIP,BOGOTÁ,577
484,85176851,2022-09-03,A,BARRANQUILLA,783
485,52081603,2023-04-16,B,BOGOTA,491
486,30833173,2023-09-18,B,BARRANQUILLA,700
487,19161408,2024-11-03,PREMIUM ,BOGOTÁ,321
488,62374647,2025-04-20,B,CALI,509
489,30353727,2024-03-06,VIP,CALI,584
490,31845218,2024-11-17,VIP,BOGOTA,680
491,23426716,2023-09-25,VIP,BOGOTA,332
492,95440590,2024-07-30,VIP,BOGOTA,758
493,14421590,2022-02-27,VIP,BOGOTA,837
494,39221379,2025-01-19,A,BOGOTÁ,398
495,54924392,2022-08-05,PREMIUM ,BOGOTA,338
496,68237814,2023-02-17,VIP,BARRANQUILLA,456
497,18674163,2023-06-22,VIP,BOGOTA,429
498,58548947,2022-01-29,PREMIUM,MEDELLÍN,321
499,67396048,2024-02-03,C,BARRANQUILLA,681
500,10224695,2025-04-23,PREMIUM,BARRANQUILLA,320
501,67884623,2022-02-04,VIP,MEDELLÍN,383
502,75402242,2022-08-19,VIP,CALI,806
503,45402297,2022-11-22,C,BOGOTA,826
504,65229602,2022-08-05,PREMIUM,BOGOTÁ,823
505,21950571,2023-03-04,A,BOGOTÁ,507
506,79583832,2024-09-18,VIP,BARRANQUILLA,608
507,99858638,2025-08-05,B,CALI,326
508,15241218,2023-07-06,B,MEDELLÍN,648
509,65482283,2025-02-07,PREMIUM,CALI,835
510,75658413,2022-12-01,PREMIUM,BOGOTA,826
511,15290717,2024-11-22,VIP,CALI,505
